"Armenia","Cape Verde","Jamaica","Mauritius","Kyrgyz Republic","Montenegro","Eurasia","Brunei Darussalam","Costa Rica","Seychelles","Albania"
4.05797439197,3.9362572022825,3.94028509431875,4.48640070548375,3.43793835378875,3.90010216804,3.88303220473389,4.42932685907875,4.2478146213375,3.774317595875,3.87796613087125
3.85280592090248,3.50171029359309,4.0943741181473,4.80182862214974,3.04507478913372,4.1557612457287,3.97509139538581,4.31482081203052,4.24828333666253,4.55242317548747,3.5616439199554
4.1347566832805,4.13585525416832,3.93716463213945,4.68735490649143,4.37792419338516,3.70527270351278,4.41774116037195,5.14675479735283,4.54648808993674,4.59892765954045,4.59515653713714
5.99481544634473,5.84920738787057,6.10583605763803,6.06803178420719,5.69690929040496,5.90581377212795,5.8123771061208,6.31510090098608,6.24489172196751,5.96649306959241,6.23697273236677
4.42072077143037,4.05665483522489,4.377991882772,4.64594810145434,4.01019174033333,4.54196978871804,4.45522399838096,4.47079630115525,5.13190697643836,3.91565126042632,4.76769100474087
4.69917021406426,4.00667533393772,4.39526031291639,4.88782442382126,4.2052241579092,4.36338365693491,4.35060100574228,4.34414922721132,4.37878545203889,4.28057767176279,4.43174622310587
4.40133227972857,3.67388383454739,4.4536255463,4.39765944847075,3.68985776436667,4.17851005864218,4.32530583943044,4.44093745434286,4.21904981885714,4.10270437093739,3.96418420168005
3.87776277863333,3.21281264616667,4.57056383303333,4.3789985658,3.75239473966667,4.23789494823333,3.55126968400741,3.748238198,4.44526378316667,3.26668884756667,3.80852109993333
4.08621298104878,3.79586361479498,4.1230030581573,4.52365306948305,3.23798489995951,4.86497233025719,4.0805530708586,4.48809283860125,4.93244788467911,4.15292271691769,4.07053578336448
2.78776599014739,1.55641951750718,2.78193801650915,2.81989732612562,2.77875026706279,2.27699486123117,3.667905365209,2.89007026393192,3.45301051199387,1.44956418865588,2.99039792890399
3.98620650647368,3.44383448047368,4.25916774647369,4.49082695815789,3.25992598042105,3.62805513347368,3.7590040602807,3.69229560147368,4.49904095494737,3.85368215431579,3.90203734436842
3.30810836677333,3.0772475402,3.3540227025972,3.36136346715467,2.67597366221413,3.16875859406933,3.23637520810673,3.230340038516,3.65547136102,2.93997791797333,3.19917439859893
